0.7	0.5	0.33	1	0.33	1	1	1	0.14
0.7	1	0.58	1	1	1	1	1	0.27
0.7	0.5	0.17	1	0.33	1	1	1	0.07
0.7	0.5	0.17	1	0.33	1	1	1	0.07
0.8	1	0.67	1	0.39	1	1	1	0.43
1	0	0	0	0	0	1	1	0
0.28	0	0	0.62	0	0	1	1	0.03
1	-1	0.5	-1	0.33	1	1	1	0.43
1	-1	1	-1	1	1	1	1	1
1	-1	1	-1	1	1	1	1	1
0	0.67	0.22	1	0.67	1	1	1	0.43
								
								
