9.25	9.972222222	10.42222222	11.48484848	12.76190476	14.22631579	16.37471264	17.80769231
11.25	11.97222222	12.42222222	13.48484848	14.76190476	16.22631579	18.37471264	19.80769231
7.964285714	8.583333333	8.888888889	9.409090909	10.05714286	10.97368421	12.11954023	13.01410256
8	8.833333333	8.933333333	9.484848485	10.38095238	11.07894737	12.29655172	13.17435897
16	18	20	24	30	40	60	80
11	11.88888889	12.6	13.66666667	14.73333333	16.6	18.73333333	20.6
29	37	46	67.75757576	107.4285714	181.2631579	326	506.45
36	45	55	78	0	0	0	0
10.75	11.33333333	11.8	13.66666667	0	0	0	0
23.75	24.66666667	26.2	31.33333333	0	0	0	0
16	18	20	24	30	40	60	80
